id,name,popularity,duration_ms,explicit,track_number,type,release_date,album_name,album_total_tracks,artist_id,artist_name
32NJ4kh1Aqrc9XGRoXvGie,My Way, Soon,65,255217,false,2,track,2021-04-16,The Battle at Garden’s Gate,12,4NpFxQe2UvRCAjto3JqlSl,Greta Van Fleet
3qkHDYDOu1LnDEFP7zII07,Am I The Only One,65,269724,true,2,track,2021-07-02,Am I The Only One,2,2t2XKfWKLXpFIjFwy1K8wx,Aaron Lewis
1iyE0UwRtLUBf9OqLfFGSp,Lonely If You Are,65,176728,false,2,track,2021-05-28,The Album,15,6pBNfggcZZDCmb0p92OnGn,Chase Rice
1KO4aiGkvF1eMTBrzL4vAd,I Don't Want to Talk,67,223533,false,1,track,2021-09-30,I Don't Want to Talk,1,0NIPkIjTV8mB795yEIiPYL,Wallows
3r9m79pHykbs4FrCXlq1oO,Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage,70,258678,true,1,track,2021-10-05,Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage],2,4utLUGcTvOJFr6aqIJtYWV,Skylar Grey
2sOzXOVI7Ia5ima0kLSl7v,Hunter’s Moon,69,196128,false,1,track,2021-09-30,Hunter's Moon,1,1Qp56T7n950O3EGMsSl81D,Ghost
77MdvMx9L4ZQuLhhn3o21h,If the World Was Ending (feat. Julia Michaels),71,209493,false,7,track,2021-06-25,Dangerous Levels of Introspection,13,66W9LaWS0DPdL7Sz8iYGYe,JP Saxe
1fTDYdx5zYfWJSX0JlKO8o,You'll Be In My Heart - From "Tarzan"/Soundtrack Version,71,258133,false,10,track,2021-05-28,Disney Summer Songs,40,4lxfqrEsLX6N1N4OCSkILp,Phil Collins
19kX6hSlYH31js2SL4jgrj,Mulberry Street,67,224398,false,7,track,2021-05-21,Scaled And Icy,11,3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots
3A6nR4GSolo160nu7xtDk7,All My Favorite Songs (feat. AJR),63,170720,false,1,track,2021-05-12,All My Favorite Songs (feat. AJR),1,3jOstUTkEu2JkjvRdBA5Gu,Weezer
2ST72jD2KVe7f3fbcGyX1b,Nobody's Love,72,211253,false,9,track,2021-06-11,JORDI (Deluxe),14,04gDigrS5kc9YWfZHwBETP,Maroon 5
38UDoZyudPWXLzXRAb71oP,After All,72,208714,false,1,track,2021-09-22,After All,1,3PhoLpVuITZKcymswpck5b,Elton John
3PgrntbrI5racVaswTt6Ms,Drop Dead (with Kesha and Travis Barker),66,189947,true,1,track,2021-10-29,Drop Dead (with Kesha and Travis Barker),1,4ZgQDCtRqZlhLswVS6MHN4,grandson
7yfLvK7r1w5bql3G0Uha5w,Boys,63,253848,false,1,track,2021-10-18,Boys,1,1btWGBz4Uu1HozTwb2Lm8A,Hippo Campus
2GgqnsIe9oNOfXN4YCI2eo,Fancy Like (feat. Kesha),66,161853,false,1,track,2021-09-10,Fancy Like (feat. Kesha),2,7sKxqpSqbIzphAKAhrqvlf,Walker Hayes
5tnRnYnQIm9iJCraZGpOJp,Hold On To Me,64,185346,false,1,track,2021-02-26,Hold On To Me,1,40LHVA5BTQp9RxHOQ9JPYj,Lauren Daigle
776AftMmFFAWUIEAb3lHhw,ZITTI E BUONI,80,194786,true,1,track,2021-03-19,Teatro d'ira - Vol. I,8,0lAWpj5szCSwM4rUMHYmrr,Måneskin
6o8tRLnKNSVoBHCTfiFdBA,Looks Like Me,73,190527,false,1,track,2021-10-21,Looks Like Me,1,3QSQFmccmX81fWCUSPTS7y,Dean Lewis
3xr0ZIYqXVKogVu00fJRBX,Kill The Noise,68,188127,false,1,track,2021-09-09,Kill The Noise,2,4RddZ3iHvSpGV4dvATac9X,Papa Roach
5iaTwwgtEyJ7cy6lLTlGBb,Adrenaline,63,204359,true,3,track,2021-02-26,...If You Don’t Save Yourself,8,1V599H9vfq6hWe2hGzyzI0,Zero 9:36
61Win0t38OfuaEWDUl03Fz,U Gurl,63,152760,false,1,track,2021-10-15,U Gurl,1,7sKxqpSqbIzphAKAhrqvlf,Walker Hayes
12MHScs4Y5gDdxy0eQYCkr,Always Love You,70,257237,true,2,track,2021-10-22,The Lockdown Sessions,16,3PhoLpVuITZKcymswpck5b,Elton John
7JBORNKYEw0ubz6VyzS6DM,3 O'Clock Things,61,228376,false,3,track,2021-03-26,OK ORCHESTRA,13,6s22t5Y3prQHyaHWUN1R1C,AJR
239yM7BAQ2CkNc61ogPGXo,Shot in the Dark,69,249080,false,6,track,2021-07-16,Sob Rock,10,0hEurMDQu99nJRq8pTxO14,John Mayer
6sqMWTs2o6ixteLAhQOTSC,Swerve (feat. FEVER 333 & Sueco),66,168289,true,1,track,2021-08-01,Swerve (feat. FEVER 333 & Sueco),1,4RddZ3iHvSpGV4dvATac9X,Papa Roach
0zTDKzHOLbAH4JzRZD8S4d,Wild Horses - 2009 Mix,0,342813,false,13,track,2021-11-09,sometimes all I think about is you,15,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
2qjH6wZfR0g11ZiT7KqyRO,Astronaut In The Ocean,67,134200,true,1,track,2021-03-25,Astronaut In The Ocean,1,00YTqRClk82aMchQQpYMd5,Our Last Night
